2022-02-03 00:34:49,081 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-03 00:34:49,087 | MainThread   | [INFO    ] | <module>            |: info
2022-02-03 00:34:49,088 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-03 00:34:49,090 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-03 00:34:49,092 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-03 00:46:29,856 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2022-02-03 00:46:29,856 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2022-02-03 00:46:29,857 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-02-03 00:46:30,867 | MainThread   | [ERROR   ] | _connect            |: Bluetooth device is turned off
2022-02-03 00:46:31,885 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-03 00:46:31,886 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-02-03 00:46:32,890 | MainThread   | [ERROR   ] | _connect            |: Bluetooth device is turned off
2022-02-03 00:46:33,896 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-03 00:46:33,898 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-02-03 00:46:44,220 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:B0:6C:9A:3C was not found
2022-02-03 00:46:45,222 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-03 00:46:56,766 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-02-03 00:47:06,776 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:B0:6C:9A:3C was not found
2022-02-03 00:47:07,779 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-03 00:47:07,780 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-02-03 00:47:17,788 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:B0:6C:9A:3C was not found
2022-02-03 00:47:18,790 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-03 00:47:18,792 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-02-03 00:47:28,802 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:B0:6C:9A:3C was not found
2022-02-03 00:47:29,808 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-03 00:48:44,830 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-03 00:48:44,830 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-03 00:48:44,830 | MainThread   | [INFO    ] | <module>            |: info
2022-02-03 00:48:44,830 | MainThread   | [INFO    ] | <module>            |: info
